code,Lat,Long,WaterT,pH,Cond,Secchi,Ca,Mg,K,Na,Cl,NO2,NO3,SO4,PO4,TN,TP,MaxDepth,Elevation,lake_area,MAT,P season,MAP,T season
EpNGEO-F_Yahurcch,0.371,-78.102,20.62,7.78,1045,0.3,14.6,0.67,0.67,1.27,12.2,0,0,0.53,0.018,1.79,0.056,7,2189,1.87,164,44,602,162
EpNGEO-F_Yambo1,-1.104,-78.586,19.66,6.52,3969,0.2,7.85,147,2.46,336,110,0,0.317,687,0,1.18,0.194,24.5,2611,0.3,143,27,533,668
EpNGEO-F_SanPablo,0.217,-78.233,15.12,7.14,10,3.4,7.64,12.2,3.1,27.1,4.67,0,0,6.92,0.164,0,0.126,23.5,2662,4.38,141,41,966,140
EpNGEO-F_Cunrro1,0.235,-78.089,17.93,7.95,343,1.38,4.9,5.6,25.7,9.95,8.92,0.154,0.137,0.618,0.26,3.45,0.689,5,2821,0.03,130,40,984,253
EpNGEO-F_Cuicocha1,0.3,-78.367,15.75,4.8,1212,10,25.8,36.4,4.93,59.4,52,0,0.014,32.1,0,0,0,31.3,3123,2.3,111,49,1046,184
EpNGEO-J_Llaviucu,-2.843,-79.146,12.2,7.7,111.29,6,19,1.2,0.21,1.18,0.08,0,0.03,1.99,,0.14,0.04,17,3150,0.12,102,25,1000,718
EpNGEO-J_Pi_an1,0.506,-78.444,,,,2,0.92,0.36,0.62,1.08,0.08,0,0,0.54,0,0.239,0.066,45,3176,1.71,104,50,1228,187
EpNGEO-J_Colta-22,-1.727,-78.759,15.4,8.4,1182,3,35,72.7,9.3,50,9,0,0.15,1.2,0.05,1.08,0.205,2.5,3300,1.65,104,33,902,390
EpNGEO-J_Kuyuk1,-2.18,-78.5,9.4,,41,4.75,5.51,1.09,4.6,0.74,0,0,0,0.83,0,0.401,0.082,8,3406,0.05,100,25,1239,307
EpNGEO-J_DsChrrrs1,-2.77,-79.16,11.02,7.47,127.48,6.2,16.5,1.07,0.31,1.21,0.35,0,0,3.06,0,0.459,0.086,18,3689,0.16,67,27,1060,442
EpNGEO-F_Huarmcch1,0.129,-78.254,10.01,5.29,62,2.9,1.63,1.42,0.66,1.94,0.58,0,0.006,7.9,0,0.019,0.003,4,3702,0.08,67,25,1326,335
EpNGEO-F_Chiriacu1,0.114,-78.273,11.27,4.85,33,0.9,1.27,0.61,1.1,1.03,0.854,0,0,6.24,0,0.241,0,6.6,3703,0.08,64,25,1353,309
EpNGEO-F_Caricoch,0.138,-78.266,11.32,4.74,53,7,1.14,1.31,0.43,1.36,0.627,0.003,0.017,3.6,0,0,0,92.9,3722,2.74,68,27,1319,303
EpNGEO-F_Cubilche1,0.232,-78.134,10.51,4.99,29,1.4,0.47,0.34,1.46,0.64,1.26,0,0,7.63,0,0,0,2.4,3778,0.01,62,21,1330,374
EpNGEO-J_Estrllsc1,-2.913,-79.254,10.36,6.74,30.3,6,2.92,0.32,0.28,0.66,0,0,0,0.16,0,0.319,0.129,12,3815,0.1,64,32,1039,461
EpNGEO-F_Yanacoch1,0.124,-78.251,7.94,5.29,39,0,1.7,0.67,0.67,1.27,0.634,0.003,0.01,4.93,0,0.218,0,2.1,3883,0.16,50,21,1412,345
EpNGEO-J_Marmlcch1,-2.781,-79.219,12.4,6.43,69.7,11,10.2,0.93,0.31,1.15,0.13,0,0,0.8,0,0.393,0.091,11,3924,0.01,59,36,967,394
EpNGEO-J_Jigeno1,-2.912,-79.292,12.5,6.75,32.41,6,4.18,0.34,0.24,1.23,0.13,0,0,0.36,0,0.426,0.12,13,3960,0.21,57,37,990,448
EpNGEO-J_Ri_oncch1,-2.766,-79.229,12.17,3.66,23.4,6.25,3.2,0.1,0.32,1.42,0,15.2,0,3.67,0,0.396,0.076,21,4035,0.08,54,39,923,359
EpNGEO-J_Fondocch1,-2.76,-79.236,11.05,7.29,52.8,3.5,7.25,0.43,0.27,0.8,0.13,0,0,0.42,0,0.2,0.117,10,4120,0.03,47,42,886,352
EpNGEO-J_Pi_ancch1,-2.754,-79.232,7.9,6.51,33.6,4.8,2.69,0.11,0.22,4.95,0.24,0,0,0.57,0.14,0.309,0.078,10,4212,0.03,43,43,874,357
